iter	Logloss
0	0.6885933346
1	0.6849275695
2	0.6812261475
3	0.6769067976
4	0.6730613708
5	0.6687947379
6	0.6652617455
7	0.6619222429
8	0.6578950352
9	0.6540324953
10	0.6502514945
11	0.6467441983
12	0.643073029
13	0.640305943
14	0.63641421
15	0.6329107285
16	0.6295979288
17	0.6264157825
18	0.6231176588
19	0.6202541987
20	0.616959148
21	0.6144545343
22	0.6113067203
23	0.6077002949
24	0.6054781808
25	0.6025447316
26	0.6003479428
27	0.597990036
28	0.5948197047
29	0.5918673939
30	0.5887196859
31	0.5853911506
32	0.5828515159
33	0.5808116595
34	0.5785306295
35	0.5759748883
36	0.5738454395
37	0.5713764826
38	0.5692757501
39	0.5672325028
40	0.5651271608
41	0.562912835
42	0.5612617069
43	0.5588870578
44	0.5564127498
45	0.5543463495
46	0.5527259509
47	0.5507762697
48	0.5484226015
49	0.5465756522
50	0.5443940692
51	0.5422618124
52	0.540040546
53	0.5383609136
54	0.5366117689
55	0.5346782472
56	0.5333454344
57	0.5316118134
58	0.5293190214
59	0.5277415382
60	0.5262614356
61	0.5243357552
62	0.5228883955
63	0.520957258
64	0.5190965864
65	0.5174219343
66	0.5157753097
67	0.5139299499
68	0.5121181276
69	0.5110309919
70	0.5090490977
71	0.5075269805
72	0.5060881509
73	0.5046480497
74	0.5027355618
75	0.5012027423
76	0.4998866717
77	0.498266538
78	0.4970781538
79	0.4957826402
80	0.4943851895
81	0.49281417
82	0.4912487136
83	0.4902246263
84	0.4890598721
85	0.4879159927
86	0.4863349067
87	0.4851412773
88	0.4835076332
89	0.482193364
90	0.481297387
91	0.4802613788
92	0.4787952635
93	0.4775185585
94	0.4764972263
95	0.475060357
96	0.4737737444
97	0.4726308187
98	0.4714231491
99	0.4705523385
100	0.4696013663
101	0.4687956704
102	0.4675255881
103	0.4665235943
104	0.465089745
105	0.4642788569
106	0.4630445374
107	0.4622738096
108	0.4614570406
109	0.460474756
110	0.4591221809
111	0.4582419395
112	0.4570582708
113	0.4562265078
114	0.4553174443
115	0.4542920325
116	0.4533893267
117	0.452223195
118	0.4508926604
119	0.4501455095
120	0.4491991467
121	0.4480850432
122	0.4471622573
123	0.4464097023
124	0.4457616276
125	0.4449977875
126	0.4442858696
127	0.4435523351
128	0.4427653419
129	0.4422979355
130	0.4413097964
131	0.4404159917
132	0.4396102164
133	0.4387924671
134	0.438106272
135	0.4372774495
136	0.4364472495
137	0.4359154171
138	0.4350032012
139	0.4344211155
140	0.433655315
141	0.4328937531
142	0.4324895276
143	0.4317524698
144	0.4310869111
145	0.4303481844
146	0.4298077689
147	0.4291462633
148	0.4284363323
149	0.4279070695
150	0.4267233478
151	0.4260853661
152	0.4252408875
153	0.4247641828
154	0.4241595268
155	0.4236141576
156	0.423125426
157	0.4226321644
158	0.42184586
159	0.4213142925
160	0.4208611382
161	0.4202619659
162	0.4195901288
163	0.4189681477
164	0.4183255831
165	0.4176327387
166	0.4170546002
167	0.4162931177
168	0.4157262113
169	0.4151388804
170	0.4144037565
171	0.4135694504
172	0.4131360054
173	0.4127107196
174	0.4122646385
175	0.4116304186
176	0.4110987451
177	0.4104221927
178	0.4099254608
179	0.409376012
180	0.4089647929
181	0.4081363413
182	0.407661332
183	0.4068569607
184	0.4062006738
185	0.4057578511
186	0.4049582481
187	0.4044221772
188	0.4039546914
189	0.403575023
190	0.4027375115
191	0.4018913905
192	0.401288112
193	0.400917636
194	0.4004810121
195	0.4001133177
196	0.3993801541
197	0.3989010122
198	0.3982872963
199	0.3978913095
200	0.3975140784
201	0.3968121741
202	0.3965946039
203	0.3961986436
204	0.3958027363
205	0.3953808679
206	0.3946336375
207	0.3940894074
208	0.3936781883
209	0.3931904899
210	0.3926260206
211	0.392040915
212	0.3915956815
213	0.391033517
214	0.3903952969
215	0.3898030387
216	0.3891123401
217	0.3885219892
218	0.3880310059
219	0.387617588
220	0.3872244623
221	0.3866051833
222	0.3859817452
223	0.3855231338
224	0.3851566845
225	0.3848559592
226	0.3843216366
227	0.3840128581
228	0.3834073808
229	0.3832016521
230	0.3827276495
231	0.3824987147
232	0.3816803296
233	0.3813912868
234	0.380800936
235	0.3803832266
236	0.3800030814
237	0.3797023031
238	0.3795223501
239	0.3790958458
240	0.3786203596
241	0.3779591454
242	0.3775794241
243	0.3773383829
244	0.3770081997
245	0.3765020106
246	0.3762307962
247	0.3757431507
248	0.3750497765
249	0.3747369713
250	0.3743980726
251	0.3739912245
252	0.373819987
253	0.3735400306
254	0.3733194669
255	0.3729628457
256	0.3725341426
257	0.3722263707
258	0.3719607989
259	0.3715516461
260	0.3713121679
261	0.3710727692
262	0.3708051576
263	0.3704294099
264	0.3699036174
265	0.3694286876
266	0.3691936599
267	0.368714518
268	0.3681873745
269	0.3677985403
270	0.3674731784
271	0.3670582241
272	0.3666404883
273	0.3662921058
274	0.3660662704
275	0.365808169
276	0.3654503293
277	0.3649724325
278	0.3645188544
279	0.364439408
280	0.3640810119
281	0.3637157281
282	0.3634059164
283	0.3630026182
284	0.3627357483
285	0.3624445597
286	0.362145106
287	0.361673673
288	0.3610396385
289	0.3607961072
290	0.3604636192
291	0.3603197734
292	0.3598939048
293	0.3596252865
294	0.3593290382
295	0.3586388959
296	0.3584050073
297	0.3581068251
298	0.3579482502
299	0.3576398426
300	0.3573708269
301	0.3568952084
302	0.3565349314
303	0.3560474979
304	0.3556346893
305	0.3554102315
306	0.3551240497
307	0.3547701041
308	0.3544552591
309	0.3543025653
310	0.3541060819
311	0.3538068136
312	0.3534004688
313	0.3531135453
314	0.3527371883
315	0.3523416784
316	0.3521269162
317	0.3518548542
318	0.351268318
319	0.3510790401
320	0.3509346114
321	0.3503013187
322	0.35003829
323	0.3498828146
324	0.3495656119
325	0.3490285344
326	0.3484843837
327	0.3481737508
328	0.3478889995
329	0.3476475345
330	0.3473093775
331	0.3471644719
332	0.3468290435
333	0.3465168211
334	0.3462144534
335	0.3459399011
336	0.3457147015
337	0.3454125192
338	0.3449910482
339	0.34480283
340	0.3445478015
341	0.3443323241
342	0.3439056344
343	0.3436887794
344	0.3432256116
345	0.3427530924
346	0.3424623542
347	0.3421445158
348	0.3418920835
349	0.3417158657
350	0.3414016565
351	0.3410084512
352	0.3408548567
353	0.3405942917
354	0.3402282397
355	0.3402013249
356	0.3400246832
357	0.3397802247
358	0.3395768272
359	0.339501222
360	0.3390621609
361	0.3388026555
362	0.3383829859
363	0.3382051256
364	0.3378424644
365	0.3376974
366	0.337378078
367	0.3370708889
368	0.3368576633
369	0.3363829719
370	0.3361327913
371	0.3357812034
372	0.335501194
373	0.335111777
374	0.3348769082
375	0.3347248501
376	0.3345302476
377	0.3343798849
378	0.3341801431
379	0.3339607981
380	0.3334845702
381	0.3330085013
382	0.3327566253
383	0.3324555821
384	0.3320347468
385	0.331760433
386	0.3315249284
387	0.3311325709
388	0.330941836
389	0.3306965033
390	0.3305392795
391	0.3302788734
392	0.3300349977
393	0.3298196528
394	0.3296598328
395	0.3293114238
396	0.3289900886
397	0.3286991384
398	0.3284905222
399	0.3282566071
400	0.3279777103
401	0.327747292
402	0.3275677628
403	0.3272841507
404	0.3270710574
405	0.3266661962
406	0.3264375793
407	0.3262605667
